tank,treatment,family,length,weight,condition_factor
H,flow,H,16.5,47.8,1.06408
H,flow,P,16.5,45.8,1.01956
H,flow,P,15,36.6,1.08444
H,flow,M,19,73.8,1.07596
H,flow,H,15.2,36.1,1.02796
H,flow,P,15.4,36.4,0.99664
H,flow,H,16,42.1,1.02783
H,flow,E,14.7,32.9,1.03572
H,flow,F,15.4,40.1,1.09795
H,flow,A,14.3,28.1,0.96094
H,flow,D,16.2,42.7,1.00434
H,flow,C,15.4,36.5,0.99938
H,flow,G,17.3,53,1.02362
H,flow,J,13.8,27.1,1.03117
H,flow,F,14.4,30.3,1.01474
H,flow,L,16.4,45.2,1.02472
H,flow,O,15.8,40.1,1.01665
H,flow,G,15.4,38.2,1.04593
H,flow,E,16.4,42.6,0.96578
H,flow,N,16.1,42,1.0064
H,flow,D,15.3,37.8,1.0554
H,flow,L,16.4,43.6,0.98845
H,flow,D,16.1,43.1,1.03276
H,flow,A,15.6,39.9,1.05099
H,flow,J,15.8,42.4,1.07497
H,flow,P,14.6,33.4,1.07322
H,flow,G,16.4,42,0.95218
H,flow,M,17.6,59.4,1.08955
H,flow,N,17,50.1,1.01974
H,flow,N,16,40.2,0.98145
H,flow,E,11.7,15.6,0.97402
H,flow,D,18,59.5,1.02023
H,flow,L,16.2,43,1.0114
H,flow,N,16.6,45.2,0.98813
H,flow,P,16.1,42.8,1.02557
H,flow,G,17.9,55.3,0.9642
H,flow,L,14,28.3,1.03134
H,flow,L,17.1,48.9,0.97796
H,flow,J,12.5,19.4,0.99328
H,flow,G,15.6,38.4,1.01148
H,flow,O,15.5,36.9,0.9909
H,flow,E,16.3,39.5,0.91208
H,flow,O,16.2,44,1.03492
H,flow,K,18.5,68.3,1.07871
H,flow,P,15.4,40.3,1.10343
H,flow,E,15.4,37.8,1.03497
H,flow,P,14.4,29.6,0.9913
H,flow,D,16.8,48.6,1.02496
H,flow,F,15.4,37.8,1.03497
H,flow,J,11.1,14.1,1.03098
H,flow,I,17,49.8,1.01364
H,flow,A,16.4,15,0.34006
H,flow,P,15.8,41.5,1.05215
H,flow,A,14.8,32.3,0.99636
H,flow,E,15.5,38.3,1.0285
H,flow,J,16,42.7,1.04248
H,flow,K,16.6,46.3,1.01218
H,flow,E,15.1,33,0.95848
H,flow,I,16.7,45.9,0.98552
H,flow,I,15.6,40.7,1.07206
H,flow,G,17.2,52.7,1.03568
H,flow,E,16.4,43.3,0.98165
H,flow,L,16.8,47,0.99122
H,flow,I,14.6,32.9,1.05715
H,flow,A,16.5,43.4,0.96614
H,flow,D,16.8,46.2,0.97435
H,flow,K,17.4,61.8,1.17312
H,flow,C,15.2,37.1,1.05644
H,flow,H,15.3,36.2,1.01073
H,flow,I,13.2,23.2,1.00871
H,flow,E,15.9,40.5,1.00754
H,flow,K,16.4,45,1.02019
H,flow,E,14.3,30,1.02592
H,flow,G,15.5,34.6,0.92914
H,flow,K,15.3,37.2,1.03865
H,flow,F,16.3,45.3,1.04601
H,flow,A,17,52.5,1.06859
H,flow,O,15.8,39.7,1.00651
H,flow,I,16.9,49.1,1.01724
H,flow,N,17,50.8,1.03399
H,flow,K,16.4,48.6,1.1018
H,flow,K,15.8,40.7,1.03187
H,flow,F,15.1,37.9,1.1008
H,flow,L,17.1,51.8,1.03596
H,flow,K,16.8,51.6,1.08823
H,flow,N,17.1,49.9,0.99796
H,flow,H,16.6,48.3,1.0559
H,flow,C,17,53.4,1.08691
H,flow,L,13.3,27.4,1.16465
H,flow,D,16,39.7,0.96924
H,flow,K,16.8,53.8,1.13463
H,flow,P,15.9,42.2,1.04984
H,flow,E,14,27.1,0.98761
H,flow,F,15.9,41.9,1.04237
H,flow,H,17.6,54.6,1.00151
H,flow,E,15.3,35.2,0.98281
H,flow,O,16.3,54.7,1.26306
H,flow,D,14.9,29.9,0.90388
H,flow,N,16.7,40.4,0.86743
H,flow,O,17.1,52.1,1.04196
H,flow,H,16.8,49.8,1.05027
H,flow,L,15.2,32.8,0.93399
H,flow,D,17.5,52.1,0.97213
H,flow,P,12.1,16.5,0.93138
H,flow,F,14.8,33.8,1.04263
H,flow,I,15.5,37.5,1.00702
H,flow,O,15,34.8,1.03111
H,flow,K,16.2,45.4,1.06785
H,flow,E,16.2,43.3,1.01846
H,flow,K,17.4,52.4,0.99468
H,flow,K,16.2,45.5,1.0702
H,flow,L,16.3,44.2,1.02061
H,flow,M,15.6,39.4,1.03782
H,flow,P,16.9,48.1,0.99652
H,flow,F,15.4,37.3,1.02128
H,flow,K,16.5,44.1,0.98172
H,flow,H,15.3,37.7,1.05261
H,flow,P,15.4,35.5,0.972
H,flow,H,17.8,60.8,1.07806
H,flow,F,15.6,42,1.10631
H,flow,H,15.9,43.1,1.07222
H,flow,F,14.2,30,1.04775
H,flow,L,17.4,51.7,0.98139
H,flow,E,14.8,31.3,0.96552
H,flow,F,9.9,10.9,1.12337
H,flow,O,17,50.2,1.02178
H,flow,J,15.6,36.5,0.96143
H,flow,K,16.2,42.6,1.00199
H,flow,D,16.1,41.4,0.99203
H,flow,G,17.3,52.5,1.01396
H,flow,A,16.1,41,0.98244
H,flow,A,10.3,11,1.00666
H,flow,N,16.2,42.9,1.00905
H,flow,M,17.1,51.1,1.02196
H,flow,K,17,51,1.03806
H,flow,E,15.1,34.8,1.01076
H,flow,O,16.8,50.6,1.06714
H,flow,D,16.8,46.2,0.97435
H,flow,D,16.3,40.7,0.93979
H,flow,C,16.8,51.5,1.08612
H,flow,G,15.5,40.8,1.09563
H,flow,D,13.6,24.8,0.9859
H,flow,H,16.3,46.1,1.06448
H,flow,I,13.4,26.3,1.09305
H,flow,E,16.4,52.5,1.19022
H,flow,L,16.1,39.5,0.9465
H,flow,O,16,42.3,1.03271
H,flow,H,16.6,49.2,1.07558
H,flow,F,14.2,30.1,1.05124
H,flow,I,15.8,45,1.14088
H,flow,P,16.8,46,0.97013
H,flow,O,16.3,47.4,1.0945
H,flow,O,15.6,40.5,1.0668
H,flow,J,15.4,39.5,1.08152
H,flow,P,16,47.2,1.15234
H,flow,H,10.8,14.4,1.14312
H,flow,C,11.7,16.7,1.0427
H,flow,O,15.8,38.5,0.97609
H,flow,E,16.8,48.6,1.02496
H,flow,N,16.8,51.3,1.08191
H,flow,N,16.4,45.4,1.02926
H,flow,O,15.2,35.4,1.00803
H,flow,A,16.6,46.5,1.01655
H,flow,O,16.6,49.5,1.08213
H,flow,O,16.8,40.6,0.85625
H,flow,C,15,34.9,1.03407
H,flow,O,15.5,37.1,0.99627
H,flow,N,16.2,42.8,1.0067
H,flow,I,14.3,32.9,1.12509
H,flow,E,16.6,48.7,1.06464
H,flow,C,15.2,38.5,1.0963
H,flow,D,17.8,55,0.97522
H,flow,A,16.5,43.7,0.97281
H,flow,J,14.7,33.4,1.05146
H,flow,O,14.9,34.6,1.04597
H,flow,F,14.5,34.9,1.14478
H,flow,G,17.7,54.9,0.99004
H,flow,G,17.9,64.3,1.12112
H,flow,J,15.6,45,1.18533
H,flow,I,15.9,42.4,1.05481
H,flow,O,14.9,34.7,1.04899
H,flow,E,16.8,48.7,1.02707
H,flow,H,17.5,58,1.08222
H,flow,D,15.9,40.6,1.01003
H,flow,P,13.6,25.4,1.00976
H,flow,O,14.8,41.5,1.28016
H,flow,J,16.2,44.7,1.05139
H,flow,C,15.6,41.8,1.10104
H,flow,I,16,43.3,1.05713
H,flow,A,14.6,32.1,1.03145
H,flow,H,15.4,38.5,1.05414
H,flow,M,16.5,49.9,1.11083
H,flow,E,15.5,37.6,1.0097
H,flow,I,16.1,43.5,1.04235
H,flow,L,18.4,67.6,1.08516
H,flow,N,16.3,43.8,1.01137
H,flow,O,16.2,44.9,1.05609
H,flow,G,13.3,23.3,0.99038
H,flow,C,13.6,27.6,1.09722
H,flow,F,14.4,31.3,1.04823
H,flow,P,15.2,35.4,1.00803
H,flow,H,17.8,60.2,1.06742
H,flow,P,14.4,31.2,1.04488
H,flow,N,15.8,41.4,1.04961
H,flow,H,16.6,48.6,1.06246
H,flow,A,14.9,32.6,0.9855
H,flow,N,15.4,37.9,1.03771
H,flow,N,16.3,43.5,1.00445
H,flow,K,17.4,57.9,1.09908
H,flow,O,15.7,41.2,1.06463
H,flow,O,17.1,52.8,1.05596
H,flow,I,15.2,36.3,1.03366
H,flow,P,15.4,38.3,1.04866
H,flow,L,16.7,48.6,1.04349
H,flow,P,15.4,41,1.12259
H,flow,D,15.6,37.9,0.99831
H,flow,N,17.3,51.4,0.99272
H,flow,H,16,43.3,1.05713
H,flow,F,16,44,1.07422
H,flow,H,17.2,56.5,1.11036
H,flow,P,14.4,30.4,1.01809
H,flow,G,17.3,51,0.98499
H,flow,P,17.4,53.5,1.01556
H,flow,J,14.6,34.6,1.11178
H,flow,N,14.9,33.5,1.01271
H,flow,K,16.3,48.7,1.12452
H,flow,D,16.6,47.3,1.03404
H,flow,C,14.8,34.2,1.05497
H,flow,N,16.7,48.2,1.0349
H,flow,H,17.3,52.9,1.02169
H,flow,H,17,51.9,1.05638
H,flow,C,15.3,36,1.00514
H,flow,C,15.6,41.5,1.09314
H,flow,O,16.3,45.6,1.05294
H,flow,P,16.3,46,1.06217
H,flow,G,17.1,51.7,1.03396
H,flow,F,15.7,43.3,1.11889
H,flow,N,16.5,44.7,0.99507
H,flow,C,16,46.5,1.13525
H,flow,E,14.9,33.6,1.01574
H,flow,O,14.8,34,1.0488
H,flow,F,13.7,16.8,0.65335
H,flow,G,15.5,36.5,0.98016
H,flow,N,15.2,39,1.11054
H,flow,N,16,41.9,1.02295
I,f.control,N,16.3,42.1,0.97212
I,f.control,J,14.6,34.2,1.09892
I,f.control,F,14.5,33,1.08246
I,f.control,F,14.7,34.6,1.08924
I,f.control,O,16.4,45.9,1.04059
I,f.control,L,16.4,42.8,0.97031
I,f.control,K,16.7,50,1.07355
I,f.control,P,15,34,1.00741
I,f.control,A,13.7,24.6,0.95669
I,f.control,G,15.8,36,0.91271
I,f.control,J,14.5,31.1,1.02013
I,f.control,O,15.1,35.7,1.0369
I,f.control,D,15.6,36.5,0.96143
I,f.control,D,16.6,38.9,0.8504
I,f.control,K,16.1,42.4,1.01599
I,f.control,C,16.5,50.6,1.12642
I,f.control,O,17.2,51.6,1.01406
I,f.control,I,15.6,40.2,1.05889
I,f.control,P,16,41.8,1.02051
I,f.control,A,16.8,49.2,1.03762
I,f.control,K,16.3,43,0.9929
I,f.control,O,16.3,43.8,1.01137
I,f.control,K,15.9,40.5,1.00754
I,f.control,M,16.7,44.8,0.9619
I,f.control,C,15.1,37.9,1.1008
I,f.control,N,16.8,42.4,0.89421
I,f.control,O,15.3,37.1,1.03586
I,f.control,G,16.9,46.6,0.96544
I,f.control,H,17,53.2,1.08284
I,f.control,L,15,32.4,0.96
I,f.control,D,16,42.2,1.03027
I,f.control,H,17.6,53.4,0.9795
I,f.control,D,15.6,38.7,1.01938
I,f.control,G,17.1,51.7,1.03396
I,f.control,K,17.8,55.4,0.98231
I,f.control,C,15.9,43.2,1.07471
I,f.control,I,15.5,37.5,1.00702
I,f.control,K,15.2,38,1.08206
I,f.control,P,14.3,31.3,1.07038
I,f.control,N,16.2,42.8,1.0067
I,f.control,I,15.9,44.4,1.10457
I,f.control,C,15.8,43.6,1.10539
I,f.control,O,16.8,49.2,1.03762
I,f.control,F,15.7,42.9,1.10856
I,f.control,O,16.7,47.3,1.01557
I,f.control,A,13.6,27,1.07336
I,f.control,H,17.6,56.2,1.03086
I,f.control,J,16,40.2,0.98145
I,f.control,I,15.1,34.9,1.01367
I,f.control,D,17.4,42.2,0.80106
I,f.control,G,15.9,38.6,0.96028
I,f.control,H,15.9,40.5,1.00754
I,f.control,L,17.8,53.6,0.9504
I,f.control,F,14.6,33,1.06036
I,f.control,P,12.5,19.2,0.98304
I,f.control,F,15,34.4,1.01926
I,f.control,O,17.5,46.9,0.8751
I,f.control,K,14.8,33.1,1.02104
I,f.control,F,14.2,29.4,1.02679
I,f.control,N,16.6,45.2,0.98813
I,f.control,H,16.5,47.2,1.05073
I,f.control,K,16,44.3,1.08154
I,f.control,N,16,39.2,0.95703
I,f.control,M,16.7,46.8,1.00484
I,f.control,D,16.6,49.2,1.07558
I,f.control,M,16,39.9,0.97412
I,f.control,D,16.7,46.6,1.00054
I,f.control,A,14.9,32.3,0.97644
I,f.control,L,15.3,38.1,1.06378
I,f.control,C,16.5,47.6,1.05963
I,f.control,P,16.1,40.9,0.98004
I,f.control,I,14.5,30.8,1.01029
I,f.control,H,17,52.2,1.06249
I,f.control,F,15.7,41.5,1.07238
I,f.control,P,16.5,48.5,1.07967
I,f.control,H,14.5,30.3,0.99389
I,f.control,M,15.9,42.2,1.04984
I,f.control,A,15.5,34.3,0.92108
I,f.control,C,14.4,31.4,1.05158
I,f.control,F,16.1,43.2,1.03516
I,f.control,O,16.2,42.8,1.0067
I,f.control,L,15.9,39.1,0.97271
I,f.control,G,13.5,24.2,0.98359
I,f.control,N,17.6,55.4,1.01618
I,f.control,J,10.8,14,1.11137
I,f.control,J,15.4,39.6,1.08426
I,f.control,F,14.8,34.3,1.05806
I,f.control,N,16.8,47.6,1.00387
I,f.control,L,17.3,49.3,0.95216
I,f.control,C,13.3,24.2,1.02863
I,f.control,N,16.6,46.2,1.00999
I,f.control,J,14.5,33,1.08246
I,f.control,P,16,46.5,1.13525
I,f.control,F,14.7,33.3,1.04832
I,f.control,P,15,35.3,1.04593
I,f.control,K,15.4,37.1,1.01581
I,f.control,C,14.6,33.7,1.08286
I,f.control,I,17,50.1,1.01974
I,f.control,L,15.4,35.8,0.98021
I,f.control,D,16.3,45.9,1.05986
I,f.control,J,15,36.5,1.08148
I,f.control,C,10.1,10.8,1.04824
I,f.control,K,16,44.9,1.09619
I,f.control,M,16.4,45.5,1.03153
I,f.control,F,15.2,37.6,1.07067
I,f.control,F,16.1,42.2,1.01119
I,f.control,O,15.1,38.3,1.11242
I,f.control,P,13.4,24.1,1.00162
I,f.control,P,8.6,7.2,1.13198
I,f.control,E,15.5,38.2,1.02581
I,f.control,J,15.9,41.2,1.02496
I,f.control,C,10.5,12.5,1.0798
I,f.control,L,15.6,37.4,0.98514
I,f.control,L,16.7,44,0.94472
I,f.control,M,16.4,43.9,0.99525
I,f.control,H,14.9,33.8,1.02178
I,f.control,O,14.8,34.9,1.07657
I,f.control,J,9.7,9.8,1.07377
I,f.control,P,14.3,29.5,1.00882
I,f.control,E,14.4,30.5,1.02144
I,f.control,G,16.8,49.1,1.03551
I,f.control,E,10.6,12.8,1.07471
I,f.control,O,15.4,37,1.01307
I,f.control,P,14.5,32.4,1.06277
I,f.control,O,15.1,46.8,1.3593
I,f.control,N,16,41,1.00098
I,f.control,C,15.7,41.4,1.0698
I,f.control,E,15.9,40.2,1.00008
I,f.control,O,15.9,43,1.06974
I,f.control,O,17.1,53.3,1.06596
I,f.control,I,15.1,35.2,1.02238
I,f.control,M,16.2,42,0.98788
I,f.control,I,15.4,40.1,1.09795
I,f.control,O,17.4,56.9,1.0801
I,f.control,I,16.2,46.2,1.08667
I,f.control,H,17.6,56.7,1.04003
I,f.control,E,14.2,38.3,1.33762
I,f.control,K,16,41.2,1.00586
I,f.control,D,15.6,40.1,1.05626
I,f.control,P,13.2,24.1,1.04784
I,f.control,K,16.7,46.7,1.00269
I,f.control,P,13.2,23.6,1.0261
I,f.control,H,16.4,46.3,1.04966
I,f.control,D,16.5,45.1,1.00398
I,f.control,D,15.5,36.7,0.98553
I,f.control,A,14.5,30.8,1.01029
I,f.control,L,16.7,46.9,1.00699
I,f.control,I,16.9,47.5,0.98409
I,f.control,E,13,21.9,0.99681
I,f.control,I,16,41.2,1.00586
I,f.control,D,15.6,39.4,1.03782
I,f.control,I,16.1,44.7,1.0711
I,f.control,E,15.5,37.5,1.00702
I,f.control,F,14.2,31.3,1.09315
I,f.control,I,15.9,42.3,1.05232
I,f.control,K,15.7,39.3,1.01553
I,f.control,F,14.4,31.8,1.06498
I,f.control,A,11.7,17.2,1.07392
I,f.control,G,16.7,46.5,0.9984
I,f.control,L,17.9,55.4,0.96594
I,f.control,D,16.4,43.8,0.99298
I,f.control,F,15.6,44.4,1.16952
I,f.control,K,15.3,38.8,1.08332
I,f.control,F,13.6,28.1,1.11709
I,f.control,N,17.3,52.1,1.00623
I,f.control,L,16.3,42.5,0.98135
I,f.control,K,16,42.1,1.02783
I,f.control,O,16.6,46.7,1.02092
I,f.control,M,15.7,39.6,1.02328
I,f.control,H,15.9,43.4,1.07969
I,f.control,N,14.6,33.4,1.07322
I,f.control,G,15.3,38.3,1.06936
I,f.control,H,15.2,35.9,1.02227
I,f.control,K,17,52.1,1.06045
I,f.control,D,12.9,20.3,0.94564
I,f.control,K,18.7,70.8,1.0827
I,f.control,I,18,60,1.02881
I,f.control,F,14.5,34.8,1.1415
I,f.control,P,16.4,45.9,1.04059
I,f.control,J,14.8,33.9,1.04572
I,f.control,M,16.4,45.1,1.02246
I,f.control,H,16.3,44.7,1.03215
I,f.control,K,14,29.5,1.07507
I,f.control,G,16.6,45.3,0.99032
I,f.control,K,17,49.8,1.01364
I,f.control,C,16.4,48.1,1.09047
I,f.control,J,15.9,42.1,1.04735
I,f.control,C,14.2,34.1,1.19094
I,f.control,K,17,49.1,0.99939
I,f.control,C,15.5,37.8,1.01507
I,f.control,O,16.9,50,1.03588
I,f.control,M,16.3,42.5,0.98135
I,f.control,N,15.7,39.1,1.01036
I,f.control,D,15.1,34.6,1.00495
I,f.control,A,14.9,33.3,1.00667
I,f.control,P,14.7,32.9,1.03572
I,f.control,L,14.2,28.2,0.98488
I,f.control,K,16.5,47.2,1.05073
I,f.control,L,11.8,16.2,0.98598
I,f.control,H,16.1,46.5,1.11423
I,f.control,O,16.8,50.4,1.06293
I,f.control,D,15.4,35.5,0.972
I,f.control,J,15.4,39.8,1.08974
I,f.control,I,17.4,57.7,1.09529
I,f.control,D,15.6,36.8,0.96934
I,f.control,I,13.6,37.9,1.50669
I,f.control,D,12.5,19,0.9728
I,f.control,A,16.4,43,0.97485
I,f.control,L,18.8,68.1,1.02488
I,f.control,A,16.5,43.5,0.96836
I,f.control,F,16.3,46,1.06217
I,f.control,N,16.6,45,0.98376
I,f.control,A,14.6,31.6,1.01538
I,f.control,N,15.3,37,1.03306
I,f.control,N,16.5,45,1.00175
I,f.control,G,15.6,36.8,0.96934
I,f.control,L,14.3,31.4,1.0738
I,f.control,H,16.7,56.7,1.2174
I,f.control,O,14.1,29.4,1.04879
I,f.control,P,17.5,55.1,1.0281
I,f.control,J,14.8,32.9,1.01487
I,f.control,P,14.5,31.7,1.03981
I,f.control,E,15.2,35.5,1.01088
I,f.control,C,12.1,18.5,1.04428
I,f.control,P,15.6,38.1,1.00358
I,f.control,E,13.8,27.3,1.03878
I,f.control,G,16.2,39.8,0.93613
I,f.control,H,17.6,55.6,1.01985
I,f.control,N,17,51.7,1.05231
I,f.control,H,16.4,48.1,1.09047
I,f.control,C,15.8,42,1.06482
I,f.control,E,13.5,26.5,1.07707
I,f.control,I,8.5,6.6,1.0747
I,f.control,L,15,32.4,0.96
I,f.control,E,14.5,30,0.98405
I,f.control,N,15.8,39.9,1.01158
I,f.control,K,17.4,56.1,1.06492
I,f.control,H,17.1,56,1.11995
I,f.control,L,14,27.6,1.00583
I,f.control,O,17,51.2,1.04213
I,f.control,K,14.5,32.4,1.06277
I,f.control,I,16.1,44.6,1.0687
I,f.control,K,16.9,51.2,1.06074
I,f.control,D,14.8,30.2,0.93158
I,f.control,E,14,27.4,0.99854
I,f.control,O,15.4,38,1.04045
I,f.control,D,15,35,1.03704
I,f.control,O,14.5,31.4,1.02997
I,f.control,L,16,38.3,0.93506
I,f.control,M,16.6,44.3,0.96846
I,f.control,L,17,50.8,1.03399
I,f.control,N,15.9,39.7,0.98764
I,f.control,L,15.4,36.4,0.99664
I,f.control,C,16.3,47,1.08526
I,f.control,E,13.9,46.9,1.74634
I,f.control,E,16,40.5,0.98877
I,f.control,N,16.6,44.2,0.96627
I,f.control,F,13.3,24.9,1.05839
I,f.control,N,15.9,42,1.04486
I,f.control,E,15.9,40.9,1.01749
I,f.control,H,15.3,38.7,1.08053
I,f.control,C,15,35.9,1.0637
I,f.control,L,17.5,50,0.93294
I,f.control,J,16,44.7,1.09131
I,f.control,L,13.3,24.8,1.05414
I,f.control,I,16.2,42.5,0.99964
I,f.control,D,14.4,33.2,1.11186
I,f.control,I,15,34.1,1.01037
I,f.control,H,15.5,40.8,1.09563
I,f.control,D,15.6,39.1,1.02992
I,f.control,N,13.9,25.9,0.9644
I,f.control,L,17.4,53.6,1.01746
I,f.control,K,16,40,0.97656
I,f.control,L,17.7,55.1,0.99365
I,f.control,D,15.7,40.1,1.0362
I,f.control,O,16.5,46.5,1.03514
I,f.control,O,15.8,42.7,1.08257
I,f.control,L,15.8,41.6,1.05468
I,f.control,K,18.4,67.1,1.07713
I,f.control,J,15,36.2,1.07259
I,f.control,D,15,33,0.97778
I,f.control,G,14.7,32.2,1.01369
I,f.control,O,15.5,39.9,1.07146
I,f.control,K,15.9,41.7,1.0374
I,f.control,H,16,44.1,1.07666
I,f.control,P,15.5,36.2,0.97211
I,f.control,H,15.1,32.3,0.93815
I,f.control,H,17.3,57,1.10087
I,f.control,E,14.1,30.1,1.07376
I,f.control,F,15.5,38.4,1.03118
I,f.control,O,15.5,39.5,1.06072
I,f.control,M,16.2,41.8,0.98318
I,f.control,O,12.4,23.9,1.25352
I,f.control,P,15.8,41.1,1.04201
I,f.control,I,16,41.7,1.01807
I,f.control,P,15,38.7,1.14667
I,f.control,C,13.6,27.6,1.09722
I,f.control,G,18,61.2,1.04938
I,f.control,C,15.9,41.2,1.02496
I,f.control,O,16.8,42.2,0.88999
I,f.control,P,15.7,40.9,1.05688
I,f.control,M,16.4,47.7,1.0814
I,f.control,N,15.9,37.8,0.94037
I,f.control,P,11.4,16,1.07995
I,f.control,K,14.6,34.9,1.12142
I,f.control,N,16.2,45.1,1.0608
I,f.control,I,15.7,39.3,1.01553
I,f.control,A,15.5,36.5,0.98016
I,f.control,I,15.2,34.8,0.99094
I,f.control,P,16.7,48.9,1.04993
I,f.control,P,15.7,37.4,0.96643
I,f.control,N,14.4,30.3,1.01474
I,f.control,I,13.3,25.6,1.08814
I,f.control,D,12,16.3,0.94329
I,f.control,N,16,41.3,1.0083
I,f.control,A,16.3,44.6,1.02985
I,f.control,N,16.2,40.9,0.96201
I,f.control,O,15.6,39.1,1.02992
I,f.control,D,15.5,38.2,1.02581
I,f.control,P,14,26.1,0.95117
I,f.control,P,14.2,29.4,1.02679
I,f.control,G,12.3,18.1,0.97266
I,f.control,H,15.5,38.3,1.0285
I,f.control,L,18.6,63,0.97904
I,f.control,N,16,39.8,0.97168
I,f.control,H,16.8,50,1.05449
I,f.control,M,16.8,48.9,1.03129
I,f.control,A,15.3,33.8,0.94372
I,f.control,F,14.8,35,1.07965
I,f.control,C,14.2,31.6,1.10363
I,f.control,F,16.3,46.5,1.07372
I,f.control,M,15.1,33.5,0.973
I,f.control,O,15.8,42.9,1.08764
I,f.control,N,16.3,41.4,0.95596
I,f.control,N,15.4,35,0.95831
I,f.control,O,15,35.7,1.05778
I,f.control,E,16.3,43.7,1.00906
I,f.control,K,17.3,43.5,0.84014
I,f.control,J,16.6,49,1.0712
I,f.control,P,16.8,47.2,0.99544
I,f.control,H,17.1,53.7,1.07395
I,f.control,K,15.6,35.8,0.94299
I,f.control,F,12.9,24.7,1.15061
I,f.control,F,16,44.5,1.08643
I,f.control,M,17.4,53.9,1.02315
I,f.control,H,17.2,58.7,1.15359
I,f.control,P,15.4,36.9,1.01033
I,f.control,L,14.5,32.9,1.07918
I,f.control,D,15.8,38.2,0.96848
I,f.control,O,17.5,56.7,1.05796
I,f.control,I,15,35,1.03704
I,f.control,K,18,62,1.0631
I,f.control,K,16.9,52.9,1.09596
I,f.control,M,16.9,48.6,1.00688
I,f.control,F,16.3,47.2,1.08988
I,f.control,K,18.6,68.2,1.05985
I,f.control,E,14.3,29.9,1.0225
I,f.control,N,17.6,57.2,1.0492
I,f.control,C,15.7,41.7,1.07755
I,f.control,I,16,39.9,0.97412
I,f.control,G,15.5,36.2,0.97211
I,f.control,D,16,39.4,0.96191
I,f.control,A,17.4,52.6,0.99848
I,f.control,J,14.4,31.1,1.04153
I,f.control,C,16.3,45.8,1.05755
I,f.control,P,9.3,7.8,0.96972