tank,treatment,family,length
A,flow,A,14.9
A,flow,A,15.6
A,flow,A,15.6
A,flow,A,12.5
A,flow,A,16
A,flow,A,17.2
A,flow,A,16.5
A,flow,A,13.2
A,flow,A,13.8
A,flow,A,12.3
A,flow,A,11.5
A,flow,A,14.6
A,flow,A,16.3
A,flow,A,15.1
A,flow,A,16.1
A,flow,A,16.7
A,flow,A,16.4
A,flow,A,16.4
A,flow,A,16.5
A,flow,A,14.9
A,flow,A,15.3
A,flow,A,17.3
A,flow,A,14.4
B,f.control,A,11.5
B,f.control,A,16.5
B,f.control,A,15.8
B,f.control,A,15.8
B,f.control,A,14.6
B,f.control,A,15.9
B,f.control,A,10.8
B,f.control,A,14.8
B,f.control,A,12.9
B,f.control,A,16.5
B,f.control,A,16
B,f.control,A,12.9
B,f.control,A,15.2
B,f.control,A,14.7
B,f.control,A,15.8
B,f.control,A,15.5
B,f.control,A,16.5
B,f.control,A,13.8
B,f.control,A,15.7
B,f.control,A,12.5
B,f.control,A,15.1
B,f.control,A,16.7
B,f.control,A,12.2
C,f.control,A,15.3
C,f.control,A,15.9
C,f.control,A,15.6
C,f.control,A,15.8
C,f.control,A,15.4
C,f.control,A,15.2
C,f.control,A,13.4
C,f.control,A,14.8
C,f.control,A,15.5
C,f.control,A,15.1
C,f.control,A,14.9
C,f.control,A,17.6
C,f.control,A,13.6
C,f.control,A,15.5
C,f.control,A,14.6
C,f.control,A,16.3
C,f.control,A,15.9
C,f.control,A,11.8
C,f.control,A,14.1
C,f.control,A,10.6
D,flow,A,15.4
D,flow,A,14.8
D,flow,A,16.6
D,flow,A,16.2
D,flow,A,13.4
D,flow,A,13.5
D,flow,A,15.5
D,flow,A,15.4
D,flow,A,15.5
D,flow,A,14.5
D,flow,A,15.9
D,flow,A,15.7
D,flow,A,13.2
D,flow,A,14.6
D,flow,A,14.3
D,flow,A,10.3
D,flow,A,15.4
D,flow,A,16
D,flow,A,16.5
D,flow,A,16.4
D,flow,A,16.3
E,f.control,A,15.8
E,f.control,A,15.4
E,f.control,A,15.7
E,f.control,A,16.5
E,f.control,A,14.9
E,f.control,A,9.6
E,f.control,A,15.5
E,f.control,A,15.4
E,f.control,A,15.6
E,f.control,A,14.4
E,f.control,A,12.6
E,f.control,A,15.3
E,f.control,A,16.5
E,f.control,A,16.4
E,f.control,A,12.2
E,f.control,A,11.6
E,f.control,A,14.6
E,f.control,A,15.1
E,f.control,A,14.6
E,f.control,A,15.2
E,f.control,A,16.1
E,f.control,A,12.5
E,f.control,A,13.5
F,flow,A,14.3
F,flow,A,14.7
F,flow,A,15.9
F,flow,A,14.5
F,flow,A,13
F,flow,A,11.9
F,flow,A,16.3
F,flow,A,16.6
F,flow,A,16.7
F,flow,A,16.8
F,flow,A,16.6
F,flow,A,14.2
F,flow,A,15.1
F,flow,A,14.3
F,flow,A,12.6
F,flow,A,14.5
F,flow,A,15.6
F,flow,A,17
F,flow,A,15.2
F,flow,A,15.7
F,flow,A,15.8
H,flow,A,16.6
H,flow,A,14.5
H,flow,A,11.9
H,flow,A,16
H,flow,A,16.7
H,flow,A,14.4
H,flow,A,16.8
H,flow,A,14.3
H,flow,A,15.6
H,flow,A,16.4
H,flow,A,14.8
H,flow,A,16.5
H,flow,A,17
H,flow,A,16.1
H,flow,A,10.3
H,flow,A,16.6
H,flow,A,16.5
H,flow,A,14.6
H,flow,A,14.9
I,f.control,A,13.7
I,f.control,A,16.8
I,f.control,A,13.6
I,f.control,A,14.9
I,f.control,A,15.5
I,f.control,A,14.5
I,f.control,A,11.7
I,f.control,A,14.9
I,f.control,A,16.4
I,f.control,A,16.5
I,f.control,A,14.6
I,f.control,A,15.5
I,f.control,A,16.3
I,f.control,A,15.3
I,f.control,A,17.4
A,flow,C,16.4
A,flow,C,15.7
A,flow,C,16.8
A,flow,C,8.9
A,flow,C,14.3
A,flow,C,16
A,flow,C,15.5
A,flow,C,17.4
A,flow,C,13.9
A,flow,C,16
A,flow,C,16
A,flow,C,15.3
A,flow,C,14.9
A,flow,C,14.5
A,flow,C,12.7
A,flow,C,12.8
A,flow,C,15
A,flow,C,18.3
A,flow,C,15.3
A,flow,C,15.9
A,flow,C,15
A,flow,C,16.9
B,f.control,C,10.7
B,f.control,C,15.3
B,f.control,C,15
B,f.control,C,17.1
B,f.control,C,16
B,f.control,C,15.9
B,f.control,C,16.1
B,f.control,C,15.4
B,f.control,C,16.1
B,f.control,C,17.5
B,f.control,C,15
B,f.control,C,15.6
B,f.control,C,13.1
B,f.control,C,15.3
B,f.control,C,13.4
B,f.control,C,17.9
B,f.control,C,16
B,f.control,C,14.3
B,f.control,C,16.8
B,f.control,C,13
B,f.control,C,11.7
B,f.control,C,15.4
B,f.control,C,14.2
B,f.control,C,16
B,f.control,C,14.9
C,f.control,C,15.1
C,f.control,C,16.1
C,f.control,C,16.3
C,f.control,C,14.2
C,f.control,C,17
C,f.control,C,14.3
C,f.control,C,14.2
C,f.control,C,15.9
C,f.control,C,15.5
C,f.control,C,14.7
C,f.control,C,15.6
C,f.control,C,13
C,f.control,C,13
C,f.control,C,13
C,f.control,C,14.3
C,f.control,C,15.7
C,f.control,C,12.9
C,f.control,C,16.3
C,f.control,C,15.5
C,f.control,C,15.9
C,f.control,C,15.1
C,f.control,C,16
C,f.control,C,15.4
C,f.control,C,14.9
C,f.control,C,16.5
D,flow,C,16
D,flow,C,16
D,flow,C,16
D,flow,C,15.2
D,flow,C,14.8
D,flow,C,14.1
D,flow,C,9.2
D,flow,C,14.3
D,flow,C,17.7
D,flow,C,16.4
D,flow,C,15.1
D,flow,C,15
D,flow,C,14.7
D,flow,C,16.1
D,flow,C,15.6
D,flow,C,14.3
D,flow,C,15.1
D,flow,C,12
D,flow,C,15.8
D,flow,C,15.7
D,flow,C,15.6
D,flow,C,16.1
D,flow,C,16.2
E,f.control,C,17.4
E,f.control,C,15.5
E,f.control,C,10.2
E,f.control,C,17.3
E,f.control,C,14.5
E,f.control,C,15.5
E,f.control,C,15.7
E,f.control,C,15.8
E,f.control,C,13.4
E,f.control,C,15.1
E,f.control,C,16.3
E,f.control,C,14
E,f.control,C,16
E,f.control,C,14.6
E,f.control,C,15.6
E,f.control,C,14.6
E,f.control,C,15.3
E,f.control,C,14
E,f.control,C,15.8
E,f.control,C,15.7
E,f.control,C,15.4
F,flow,C,15.3
F,flow,C,14.7
F,flow,C,12.3
F,flow,C,14.4
F,flow,C,14.3
F,flow,C,15.8
F,flow,C,15
F,flow,C,14.8
F,flow,C,14.5
F,flow,C,13.5
F,flow,C,14.1
F,flow,C,15.4
F,flow,C,16.4
F,flow,C,15.2
F,flow,C,14.3
F,flow,C,13.7
F,flow,C,14.6
F,flow,C,15
F,flow,C,14.3
F,flow,C,15.1
F,flow,C,13.5
F,flow,C,17.2
F,flow,C,15.3
F,flow,C,11.4
F,flow,C,16.6
F,flow,C,16.2
F,flow,C,14.1
H,flow,C,16.3
H,flow,C,13.3
H,flow,C,16.4
H,flow,C,13.7
H,flow,C,16.1
H,flow,C,17.2
H,flow,C,13
H,flow,C,14
H,flow,C,15.5
H,flow,C,12.9
H,flow,C,14.4
H,flow,C,15.4
H,flow,C,15.2
H,flow,C,17
H,flow,C,16.8
H,flow,C,11.7
H,flow,C,15
H,flow,C,15.2
H,flow,C,15.6
H,flow,C,13.6
H,flow,C,14.8
H,flow,C,15.3
H,flow,C,15.6
H,flow,C,16
I,f.control,C,16.5
I,f.control,C,15.1
I,f.control,C,15.9
I,f.control,C,15.8
I,f.control,C,16.5
I,f.control,C,14.4
I,f.control,C,13.3
I,f.control,C,14.6
I,f.control,C,10.1
I,f.control,C,10.5
I,f.control,C,15.7
I,f.control,C,16.4
I,f.control,C,14.2
I,f.control,C,15.5
I,f.control,C,12.1
I,f.control,C,15.8
I,f.control,C,16.3
I,f.control,C,15
I,f.control,C,13.6
I,f.control,C,15.9
I,f.control,C,14.2
I,f.control,C,15.7
I,f.control,C,16.3
A,flow,D,16
A,flow,D,13.1
A,flow,D,16.1
A,flow,D,16.3
A,flow,D,17.3
A,flow,D,14.5
A,flow,D,15.7
A,flow,D,15
A,flow,D,16.3
A,flow,D,12.9
A,flow,D,10.2
A,flow,D,16
A,flow,D,16.6
A,flow,D,16.2
A,flow,D,16.5
A,flow,D,16.1
A,flow,D,17
A,flow,D,15.5
A,flow,D,11.4
A,flow,D,15.8
A,flow,D,14.3
A,flow,D,14.8
A,flow,D,16
A,flow,D,15.3
A,flow,D,15.8
A,flow,D,16
A,flow,D,16.7
A,flow,D,16.1
A,flow,D,16.6
B,f.control,D,15
B,f.control,D,17.2
B,f.control,D,15.4
B,f.control,D,15.4
B,f.control,D,15.5
B,f.control,D,15.5
B,f.control,D,14.1
B,f.control,D,16
B,f.control,D,8.8
B,f.control,D,12.2
B,f.control,D,14
B,f.control,D,15.4
B,f.control,D,10.1
B,f.control,D,15.7
B,f.control,D,16.3
B,f.control,D,14.9
B,f.control,D,15
B,f.control,D,15.4
B,f.control,D,16.3
B,f.control,D,10.2
B,f.control,D,15.1
B,f.control,D,17
B,f.control,D,16.3
B,f.control,D,13.9
B,f.control,D,16.1
B,f.control,D,15.2
B,f.control,D,16.3
B,f.control,D,16
B,f.control,D,15.6
B,f.control,D,16.2
B,f.control,D,16
B,f.control,D,15.6
B,f.control,D,14.8
B,f.control,D,11.8
B,f.control,D,16.5
C,f.control,D,15.6
C,f.control,D,16.5
C,f.control,D,14.5
C,f.control,D,13.2
C,f.control,D,16
C,f.control,D,16.6
C,f.control,D,10
C,f.control,D,15.8
C,f.control,D,12.9
C,f.control,D,11.8
C,f.control,D,15
C,f.control,D,15.6
C,f.control,D,15.6
C,f.control,D,15.5
C,f.control,D,15.7
C,f.control,D,15.7
C,f.control,D,15.5
C,f.control,D,14.6
C,f.control,D,16.9
C,f.control,D,17.1
C,f.control,D,13.9
C,f.control,D,15.6
C,f.control,D,14.6
C,f.control,D,15.6
C,f.control,D,17.6
C,f.control,D,12.8
C,f.control,D,16.5
C,f.control,D,16.7
C,f.control,D,15.7
C,f.control,D,16.5
C,f.control,D,15.5
C,f.control,D,16.1
D,flow,D,15.7
D,flow,D,14.5
D,flow,D,16.2
D,flow,D,13.4
D,flow,D,16.8
D,flow,D,10.8
D,flow,D,15
D,flow,D,11.6
D,flow,D,16.4
D,flow,D,15.4
D,flow,D,16.5
D,flow,D,16.1
D,flow,D,16.1
D,flow,D,15.6
D,flow,D,16.2
D,flow,D,15
D,flow,D,16.6
D,flow,D,16.7
D,flow,D,16
D,flow,D,17.3
D,flow,D,16
D,flow,D,10.1
D,flow,D,15
D,flow,D,14.5
D,flow,D,15.4
D,flow,D,16.3
D,flow,D,15.7
E,f.control,D,17.7
E,f.control,D,14.3
E,f.control,D,14.3
E,f.control,D,15.1
E,f.control,D,10.6
E,f.control,D,16.6
E,f.control,D,16.6
E,f.control,D,11.5
E,f.control,D,15.7
E,f.control,D,14.3
E,f.control,D,15.4
E,f.control,D,16.5
E,f.control,D,16.5
E,f.control,D,14.3
E,f.control,D,14.9
E,f.control,D,15.5
E,f.control,D,14.6
E,f.control,D,13.9
E,f.control,D,13.4
E,f.control,D,16.5
E,f.control,D,15.7
E,f.control,D,13.8
E,f.control,D,15.8
E,f.control,D,16.1
E,f.control,D,14.8
E,f.control,D,15.7
E,f.control,D,15.3
E,f.control,D,15.5
E,f.control,D,14.8
E,f.control,D,9.9
E,f.control,D,16.6
E,f.control,D,16.5
E,f.control,D,16
E,f.control,D,8
E,f.control,D,13
E,f.control,D,15.4
E,f.control,D,15.8
E,f.control,D,15.1
F,flow,D,15.3
F,flow,D,14
F,flow,D,18.1
F,flow,D,13.5
F,flow,D,12.7
F,flow,D,8.5
F,flow,D,15.1
F,flow,D,16.5
F,flow,D,15.3
F,flow,D,15.5
F,flow,D,17.5
F,flow,D,14.9
F,flow,D,16.3
F,flow,D,14.2
F,flow,D,16.5
F,flow,D,16.3
F,flow,D,17.5
F,flow,D,15.3
F,flow,D,17.4
F,flow,D,16.4
F,flow,D,16
F,flow,D,16.1
F,flow,D,17.1
F,flow,D,15.8
F,flow,D,9.3
F,flow,D,15.5
F,flow,D,15.7
H,flow,D,16.8
H,flow,D,17.7
H,flow,D,15.7
H,flow,D,16.5
H,flow,D,14.4
H,flow,D,15.6
H,flow,D,17.4
H,flow,D,16.8
H,flow,D,15.5
H,flow,D,16.2
H,flow,D,15.3
H,flow,D,16.1
H,flow,D,18
H,flow,D,16.8
H,flow,D,16.8
H,flow,D,16
H,flow,D,14.9
H,flow,D,17.5
H,flow,D,16.1
H,flow,D,16.8
H,flow,D,16.3
H,flow,D,13.6
H,flow,D,17.8
H,flow,D,15.9
H,flow,D,15.6
H,flow,D,16.6
I,f.control,D,15.6
I,f.control,D,16.6
I,f.control,D,16
I,f.control,D,15.6
I,f.control,D,17.4
I,f.control,D,16.6
I,f.control,D,16.7
I,f.control,D,16.3
I,f.control,D,15.6
I,f.control,D,16.5
I,f.control,D,15.5
I,f.control,D,15.6
I,f.control,D,16.4
I,f.control,D,12.9
I,f.control,D,15.1
I,f.control,D,15.4
I,f.control,D,15.6
I,f.control,D,12.5
I,f.control,D,14.8
I,f.control,D,15
I,f.control,D,14.4
I,f.control,D,15.6
I,f.control,D,15.7
I,f.control,D,15
I,f.control,D,12
I,f.control,D,15.5
I,f.control,D,15.8
I,f.control,D,16
A,flow,E,14.2
A,flow,E,15.7
A,flow,E,15.4
A,flow,E,13.5
A,flow,E,15.9
A,flow,E,17.5
A,flow,E,15
A,flow,E,15.5
A,flow,E,15.1
A,flow,E,15.8
A,flow,E,15.2
A,flow,E,15.3
A,flow,E,13.5
A,flow,E,14.5
A,flow,E,16.4
A,flow,E,16.2
A,flow,E,14.7
A,flow,E,15.9
A,flow,E,15.4
A,flow,E,17.5
B,f.control,E,14.5
B,f.control,E,13.3
B,f.control,E,14.1
B,f.control,E,14
B,f.control,E,12.1
B,f.control,E,16.6
B,f.control,E,13.9
B,f.control,E,15.7
B,f.control,E,14.1
B,f.control,E,11.7
B,f.control,E,14.9
B,f.control,E,10.5
B,f.control,E,14.9
B,f.control,E,14.9
B,f.control,E,14.7
B,f.control,E,14.7
B,f.control,E,15
B,f.control,E,16.3
B,f.control,E,13.8
B,f.control,E,15.8
B,f.control,E,15.9
B,f.control,E,12.2
B,f.control,E,16.5
C,f.control,E,15.2
C,f.control,E,14.1
C,f.control,E,15.5
C,f.control,E,13.3
C,f.control,E,15.9
C,f.control,E,13.9
C,f.control,E,15.4
C,f.control,E,14.3
C,f.control,E,11.6
C,f.control,E,16
C,f.control,E,15.8
C,f.control,E,15.1
C,f.control,E,14
C,f.control,E,16.2
C,f.control,E,14
C,f.control,E,15
C,f.control,E,15.9
D,flow,E,16
D,flow,E,16.2
D,flow,E,13.6
D,flow,E,11
D,flow,E,15
D,flow,E,13.4
D,flow,E,16.8
D,flow,E,15.5
D,flow,E,15.4
D,flow,E,14
D,flow,E,12.8
D,flow,E,15
D,flow,E,15.1
D,flow,E,14.4
D,flow,E,15.1
D,flow,E,14.8
D,flow,E,14.4
D,flow,E,15
D,flow,E,15.2
D,flow,E,13.4
D,flow,E,15.6
D,flow,E,15.1
D,flow,E,13.8
D,flow,E,17
D,flow,E,15.7
D,flow,E,14.7
D,flow,E,15.7
D,flow,E,14.4
D,flow,E,15.5
D,flow,E,16.4
E,f.control,E,9.5
E,f.control,E,13.8
E,f.control,E,16
E,f.control,E,12.8
E,f.control,E,14.7
E,f.control,E,15
E,f.control,E,15.4
E,f.control,E,15
E,f.control,E,15.5
E,f.control,E,15
E,f.control,E,14.8
E,f.control,E,9.8
E,f.control,E,15
E,f.control,E,14.4
E,f.control,E,14
E,f.control,E,14.7
E,f.control,E,10
E,f.control,E,13.6
E,f.control,E,8.9
E,f.control,E,16
F,flow,E,15.2
F,flow,E,13.8
F,flow,E,15
F,flow,E,15.2
F,flow,E,14.1
F,flow,E,15
F,flow,E,15
F,flow,E,14.5
F,flow,E,16.4
F,flow,E,12.6
F,flow,E,15.5
F,flow,E,15.9
F,flow,E,14.6
F,flow,E,16.8
F,flow,E,14.8
F,flow,E,15.1
F,flow,E,16.5
F,flow,E,16.4
F,flow,E,13.7
F,flow,E,17.1
F,flow,E,15
F,flow,E,14.1
F,flow,E,14.5
F,flow,E,16.6
F,flow,E,15.2
F,flow,E,14.7
F,flow,E,13.6
F,flow,E,15.9
F,flow,E,13.4
H,flow,E,14.6
H,flow,E,16.3
H,flow,E,15.4
H,flow,E,10.8
H,flow,E,16.2
H,flow,E,16.8
H,flow,E,13.2
H,flow,E,14.7
H,flow,E,16.4
H,flow,E,11.7
H,flow,E,16.3
H,flow,E,15.4
H,flow,E,15.5
H,flow,E,15.1
H,flow,E,16.4
H,flow,E,15.9
H,flow,E,14.3
H,flow,E,14
H,flow,E,15.3
H,flow,E,16.2
H,flow,E,14.8
H,flow,E,15.1
H,flow,E,16.4
H,flow,E,16.8
H,flow,E,16.6
H,flow,E,16.8
H,flow,E,15.5
H,flow,E,14.9
I,f.control,E,15.5
I,f.control,E,14.4
I,f.control,E,10.6
I,f.control,E,15.9
I,f.control,E,14.2
I,f.control,E,13
I,f.control,E,15.5
I,f.control,E,15.2
I,f.control,E,13.8
I,f.control,E,13.5
I,f.control,E,14.5
I,f.control,E,14
I,f.control,E,13.9
I,f.control,E,16
I,f.control,E,15.9
I,f.control,E,14.1
I,f.control,E,16.3
I,f.control,E,14.3
A,flow,F,16
A,flow,F,14.4
A,flow,F,14.3
A,flow,F,16
A,flow,F,13.8
A,flow,F,15
A,flow,F,13.9
A,flow,F,14
A,flow,F,15.5
A,flow,F,12.3
A,flow,F,14.9
A,flow,F,15.5
A,flow,F,15.8
A,flow,F,14.8
A,flow,F,15.2
A,flow,F,17.1
A,flow,F,15.5
A,flow,F,15
A,flow,F,14.8
A,flow,F,14.8
A,flow,F,16.5
A,flow,F,14.2
A,flow,F,16.6
A,flow,F,15.5
A,flow,F,15.8
B,f.control,F,14.6
B,f.control,F,15.2
B,f.control,F,16.6
B,f.control,F,15.9
B,f.control,F,14.7
B,f.control,F,14
B,f.control,F,13.8
B,f.control,F,15.3
B,f.control,F,14.6
B,f.control,F,15.4
B,f.control,F,16.8
B,f.control,F,13.7
B,f.control,F,15.1
B,f.control,F,14.5
B,f.control,F,14.6
B,f.control,F,15.6
B,f.control,F,17
B,f.control,F,14.9
B,f.control,F,15.9
B,f.control,F,16.2
B,f.control,F,12.7
B,f.control,F,14.1
B,f.control,F,14.9
B,f.control,F,15.3
B,f.control,F,16
C,f.control,F,16.1
C,f.control,F,14
C,f.control,F,14.4
C,f.control,F,13.7
C,f.control,F,13.7
C,f.control,F,14.3
C,f.control,F,16.1
C,f.control,F,15.4
C,f.control,F,14.5
C,f.control,F,15.5
C,f.control,F,12.5
C,f.control,F,15.4
C,f.control,F,14.7
C,f.control,F,15.4
C,f.control,F,14
C,f.control,F,15.9
C,f.control,F,16
C,f.control,F,15
C,f.control,F,14.3
D,flow,F,15.5
D,flow,F,14.5
D,flow,F,14
D,flow,F,14.5
D,flow,F,14.3
D,flow,F,11.7
D,flow,F,15.6
D,flow,F,14.9
D,flow,F,13.7
D,flow,F,14.7
D,flow,F,14.5
D,flow,F,14.6
D,flow,F,15.2
D,flow,F,14
D,flow,F,14.5
D,flow,F,17
D,flow,F,14.5
D,flow,F,14.3
D,flow,F,15.1
D,flow,F,13.2
D,flow,F,15.5
D,flow,F,14.8
D,flow,F,15.1
D,flow,F,13
D,flow,F,12.9
D,flow,F,13
D,flow,F,13.5
D,flow,F,15.5
E,f.control,F,14.3
E,f.control,F,13.7
E,f.control,F,15.2
E,f.control,F,13.3
E,f.control,F,15.4
E,f.control,F,15.4
E,f.control,F,10.3
E,f.control,F,13.5
E,f.control,F,15.4
E,f.control,F,14.2
E,f.control,F,15.6
E,f.control,F,14.4
E,f.control,F,14
E,f.control,F,11.5
E,f.control,F,12
E,f.control,F,14.1
E,f.control,F,15.2
E,f.control,F,13.6
E,f.control,F,14.9
E,f.control,F,15.9
E,f.control,F,14.6
E,f.control,F,14.1
E,f.control,F,16.5
E,f.control,F,14
E,f.control,F,14.8
E,f.control,F,14.4
F,flow,F,13.9
F,flow,F,15.7
F,flow,F,8.2
F,flow,F,14.5
F,flow,F,14.1
F,flow,F,13.5
F,flow,F,13.7
F,flow,F,15.6
F,flow,F,15.6
F,flow,F,14.4
F,flow,F,14.4
F,flow,F,13.8
F,flow,F,14.6
F,flow,F,14.7
F,flow,F,13.7
F,flow,F,14.4
F,flow,F,15.5
F,flow,F,12.3
F,flow,F,15.4
F,flow,F,13
F,flow,F,15
F,flow,F,14.7
F,flow,F,13.5
F,flow,F,15.3
F,flow,F,13.4
F,flow,F,14.4
F,flow,F,13.5
F,flow,F,13.4
F,flow,F,11.4
F,flow,F,15.9
F,flow,F,11.6
H,flow,F,14.5
H,flow,F,14.5
H,flow,F,14.4
H,flow,F,15.5
H,flow,F,16.8
H,flow,F,15.3
H,flow,F,16.4
H,flow,F,14.9
H,flow,F,14.5
H,flow,F,16.4
H,flow,F,14
H,flow,F,14.4
H,flow,F,15.4
H,flow,F,14.4
H,flow,F,15.4
H,flow,F,16.3
H,flow,F,15.1
H,flow,F,15.9
H,flow,F,14.8
H,flow,F,15.4
H,flow,F,15.6
H,flow,F,14.2
H,flow,F,9.9
H,flow,F,14.2
H,flow,F,14.5
H,flow,F,14.4
H,flow,F,16
H,flow,F,15.7
H,flow,F,13.7
I,f.control,F,14.5
I,f.control,F,14.7
I,f.control,F,15.7
I,f.control,F,14.6
I,f.control,F,15
I,f.control,F,14.2
I,f.control,F,15.7
I,f.control,F,16.1
I,f.control,F,14.8
I,f.control,F,14.7
I,f.control,F,15.2
I,f.control,F,16.1
I,f.control,F,14.2
I,f.control,F,14.4
I,f.control,F,15.6
I,f.control,F,13.6
I,f.control,F,14.5
I,f.control,F,16.3
I,f.control,F,13.3
I,f.control,F,15.5
I,f.control,F,14.8
I,f.control,F,16.3
I,f.control,F,12.9
I,f.control,F,16
I,f.control,F,16.3
A,flow,G,16.3
A,flow,G,15.6
A,flow,G,15.4
A,flow,G,15
A,flow,G,16.5
A,flow,G,17.4
A,flow,G,17.4
A,flow,G,17.4
A,flow,G,13.5
A,flow,G,16.1
A,flow,G,15.5
A,flow,G,15
A,flow,G,15.2
A,flow,G,15.9
A,flow,G,18.8
A,flow,G,15.3
A,flow,G,17.5
A,flow,G,15.1
B,f.control,G,15.9
B,f.control,G,16.9
B,f.control,G,15.7
B,f.control,G,14.9
B,f.control,G,17.1
B,f.control,G,14.6
B,f.control,G,16
B,f.control,G,14.3
B,f.control,G,14.5
B,f.control,G,17.2
B,f.control,G,15.2
B,f.control,G,16.3
B,f.control,G,17
B,f.control,G,16.6
B,f.control,G,14.1
B,f.control,G,15.4
B,f.control,G,16.6
B,f.control,G,17.5
B,f.control,G,16.4
B,f.control,G,15.9
B,f.control,G,17
B,f.control,G,17.5
C,f.control,G,16
C,f.control,G,16.7
C,f.control,G,13.4
